country;event;medal;medalist;olympics
Portugal;Canoeing;2012 Summer Olympics;Men's K-2 1000 metres;Silver medal;Emanuel Silva;Fernando Pimenta;2012 Summer Olympics
Turkey;Athletics;2012 Summer Olympics;Women's 1500 metres;Silver medal;Gamze Bulut;2012 Summer Olympics
Italy;Shooting;2012 Summer Olympics;Men's Trap;Silver medal;Massimo Fabbrizi;2012 Summer Olympics
Brazil;Volleyball;2012 Summer Olympics;Men's volleyball;Silver medal;Rodrigo Santana;Leandro Vissotto Neves;Thiago Alves;Murilo Endres;Dante Amaral;Sidnei Santos Junior;Ricardo Garcia;Wallace de Souza;Giba;Bruno Rezende;Lucas Saatkamp;Sergio Santos;2012 Summer Olympics
Slovenia;Swimming;2012 Summer Olympics;Women's 400 metre individual medley;;Anja Klinar;2012 Summer Olympics
Australia;Sailing;2012 Summer Olympics;Men's Laser class;Gold medal;Tom Slingsby;2012 Summer Olympics
Venezuela;Swimming;2012 Summer Olympics;Women's 400 metre individual medley;;Andreina Pinto;2012 Summer Olympics
United States of America;Shooting;2012 Summer Olympics;Men's Skeet;Gold medal;Vincent Hancock;2012 Summer Olympics
United Kingdom;Boxing;2012 Summer Olympics;Men's middleweight;Bronze medal;Anthony Ogogo;2012 Summer Olympics
Mexico;Archery;2012 Summer Olympics;Women's individual;Bronze medal;Mariana Avitia;2012 Summer Olympics
Norway;Alpine skiing;2010 Winter Olympics;Men's giant slalom;Bronze medal;Aksel Lund Svindal;2010 Winter Olympics
United States of America;Snowboarding;2010 Winter Olympics;Men's snowboard cross;Gold medal;Seth Wescott;2010 Winter Olympics
Austria;Alpine Skiing;2006 Winter Olympics;Men's Slalom;Gold medal;Benjamin Raich;2006 Winter Olympics
;Football;2008 Summer Olympics;Women's tournament;;Kristin Hammarström;2008 Summer Olympics
;Athletics;2004 Summer Olympics;Women's 1.500 metres;;Sumaira Zahoor;2004 Summer Olympics
New Zealand;Volleyball;1996 Summer Olympics;Men's beach volleyball;;Reid Hamilton;Glenn Hamilton;1996 Summer Olympics
German Democratic Republic;Volleyball;1988 Summer Olympics;Women's volleyball;;;1988 Summer Olympics
;Athletics;2008 Summer Olympics;Women's 400 metres;;Yuliya Gushchina;2008 Summer Olympics
Germany;Bobsleigh;2006 Winter Olympics;Four Man Bobsleigh;Gold medal;Martin Putze;2006 Winter Olympics
Norway;Volleyball;2000 Summer Olympics;Men's beach volleyball;;Bjørn Maaseide;Jan Kvalheim;2000 Summer Olympics
Russia;Cross-country skiing;2006 Winter Olympics;4 x 5 Km relay;Gold medal;Evgenia Medvedeva-Abruzova;2006 Winter Olympics
Algeria;Boxing;1984 Summer Olympics;Light Heavyweight;Bronze medal;Mustapha Moussa;1984 Summer Olympics
Morocco;Athletics;2000 Summer Olympics;Men's 3000 metre steeplechase;Bronze medal;Ali Ezzine;2000 Summer Olympics
Australia;Swimming;2000 Summer Olympics;Women's 200 metre butterfly;Bronze medal;Petria Thomas;2000 Summer Olympics
United States of America;Boxing;1984 Summer Olympics;Flyweight;Gold medal;Steve McCrory;1984 Summer Olympics
Romania;Gymnastics;2004 Summer Olympics;Women's Balance Beam;Bronze medal;Alexandra Eremia;2004 Summer Olympics
Cuba;Weightlifting;1996 Summer Olympics;Men's Middleweight 70-76 kg;Gold medal;Pablo Lara;1996 Summer Olympics
Czech Republic;Cycling;2004 Summer Olympics;Men's individual road race;;René Andrle;2004 Summer Olympics
Greece;Sailing;2004 Summer Olympics;Men's sailboard;Silver medal;Nikolaos Kaklamanakis;2004 Summer Olympics
Soviet Union;Athletics;1988 Summer Olympics;Women's 10000 metres;Bronze medal;Yelena Zhupiyova;1988 Summer Olympics
Slovenia;Cycling;2000 Summer Olympics;Men's cross-country;;Rok Drasler;2000 Summer Olympics
Slovenia;Ski jumping;2002 Winter Olympics;Team Competition;Bronze medal;Peter Žonta;Primož Peterka;Robert Kranjec;Damjan Fras;2002 Winter Olympics
Italy;Gymnastics;2004 Summer Olympics;Men's rings;Bronze medal;Jury Chechi;2004 Summer Olympics
United Kingdom;Judo;1984 Summer Olympics;Men's Extra Lightweight (-60kg);Bronze medal;Neil Eckersley;1984 Summer Olympics
United Kingdom;Athletics;1964 Summer Olympics;Women's Long Jump;Gold medal;Mary Rand;1964 Summer Olympics
Austria;Swimming;2004 Summer Olympics;Men's 200 metre backstroke;Silver medal;Markus Rogan;2004 Summer Olympics
German Democratic Republic;Swimming;1988 Summer Olympics;Women's 100 metre backstroke;Bronze medal;Cornelia Sirch;1988 Summer Olympics
Armenia;Weightlifting;2000 Summer Olympics;Men's Middleweight 69-77kg;Bronze medal;Arsen Melikyan;2000 Summer Olympics
Russia;Judo;2000 Summer Olympics;Men's Heavyweight (+100 kg);Bronze medal;Tamerlan Tmenov;2000 Summer Olympics
Italy;Sailing;2000 Summer Olympics;Women's Sailboard;Gold medal;Alessandra Sensini;2000 Summer Olympics
Denmark;Canoeing;1984 Summer Olympics;Men's C-1 500 metres;Silver medal;Henning Lynge Jakobsen;1984 Summer Olympics
West Germany;Swimming;1984 Summer Olympics;Men's 200 metre freestyle;Gold medal;Michael Gross;1984 Summer Olympics
France;Judo;2000 Summer Olympics;Women's 78 kg;Silver medal;Céline Lebrun;2000 Summer Olympics
Germany;Nordic combined;2002 Winter Olympics;Sprint;Silver medal;Ronny Ackermann;2002 Winter Olympics
Soviet Union;Gymnastics;1988 Summer Olympics;Men's artistic individual all-around;Silver medal;Valeri Liukin;1988 Summer Olympics
Ukraine;Swimming;2000 Summer Olympics;Women's 800 metre freestyle;Silver medal;Yana Klochkova;2000 Summer Olympics
Soviet Union;Wrestling;1988 Summer Olympics;Men's Greco-Roman Welterweight;Silver medal;Daulet Turlykhanov;1988 Summer Olympics
Cuba;Boxing;1996 Summer Olympics;Flyweight;Gold medal;Maikro Romero;1996 Summer Olympics
Japan;Judo;2012 Summer Olympics;Men's 66 kg;Bronze medal;Masashi Ebinuma;2012 Summer Olympics
Japan;Swimming;2012 Summer Olympics;Men's 100 metre backstroke;Bronze medal;Ryosuke Irie;2012 Summer Olympics
North Korea;Wrestling;2012 Summer Olympics;Men's freestyle 55 kg;Bronze medal;Yang Kyong-Il;2012 Summer Olympics
Romania;Gymnastics;2012 Summer Olympics;Women's floor;Silver medal;C?t?lina Ponor;2012 Summer Olympics
Japan;Swimming;2012 Summer Olympics;Men's 200 metre butterfly;Bronze medal;Takeshi Matsuda;2012 Summer Olympics
Australia;Swimming;2012 Summer Olympics;Women's 4 x 200 metre freestyle relay;Silver medal;Jade Neilsen;Blair Evans;Melanie Schlanger;Kylie Palmer;Alicia Coutts;Bronte Barratt;Angie Bainbridge;Brittany Elmslie;2012 Summer Olympics
Kenya;Athletics;2012 Summer Olympics;Women's 5000 metres;Silver medal;Vivian Cheruiyot;2012 Summer Olympics
Russia;Weightlifting;2012 Summer Olympics;Women's 63 kg;Silver medal;Svetlana Tsarukaeva;2012 Summer Olympics
Jamaica;Athletics;2012 Summer Olympics;Women's 4x100 metre relay;Silver medal;Shelly-Ann Fraser;Schillonie Calvert;Sherone Simpson;Samantha Henry-Robinson;Kerron Stewart;Veronica Campbell;2012 Summer Olympics
United Kingdom;Tennis;2012 Summer Olympics;Mixed Doubles;Silver medal;Andrew Murray;Laura Robson;2012 Summer Olympics
Iran;Weightlifting;2012 Summer Olympics;Men's 105 kg;Silver medal;Navab Nassirshalal;2012 Summer Olympics
Uzbekistan;Wrestling;2012 Summer Olympics;Men's freestyle 74 kg;Bronze medal;Soslan Tigiev;2012 Summer Olympics
Denmark;Rowing;2012 Summer Olympics;Men's lightweight double sculls;Gold medal;Rasmus Quist;Mads Rasmussen;2012 Summer Olympics
United Kingdom;Cycling;2012 Summer Olympics;Men's team pursuit;Gold medal;Geraint Thomas;Ed Clancy;Peter Kennaugh;Steven Burke;2012 Summer Olympics
Thailand;Boxing;2012 Summer Olympics;Men's light flyweight;Silver medal;Kaeo Pongprayoon;2012 Summer Olympics
United States of America;Athletics;2012 Summer Olympics;Women's 4x100 metre relay;Gold medal;Tianna Madison;Lauryn Williams;Jeneba Tarmoh;Carmelita Jeter;Bianca Knight;Allyson Felix;2012 Summer Olympics
United Kingdom;Rowing;2012 Summer Olympics;Men's coxless four;Gold medal;Maestro Alex Gregory;Andrew Triggs-Hodge;Peter Reed;Tom James;2012 Summer Olympics
Hungary;Boxing;1972 Summer Olympics;Light Flyweight;Gold medal;György Gedó;1972 Summer Olympics
United States of America;Wrestling;1988 Summer Olympics;Men's freestyle Super Heavyweight;Silver medal;Bruce Baumgartner;1988 Summer Olympics
United States of America;Swimming;1988 Summer Olympics;Women's 400 metre individual medley;Gold medal;Janet Evans;1988 Summer Olympics
Turkey;Boxing;1996 Summer Olympics;Middleweight;Silver medal;Malik Beylero?lu;1996 Summer Olympics
Kazakhstan;Weightlifting;1996 Summer Olympics;Men's First Heavyweight  91-99 kg;Silver medal;Anatoly Khrapaty;1996 Summer Olympics
Nigeria;Boxing;1996 Summer Olympics;Super heavyweight;Bronze medal;Duncan Dokiwari;1996 Summer Olympics
Spain;Sailing;2004 Summer Olympics;Finn class;Silver medal;Rafael Trujillo;2004 Summer Olympics
Greece;Weightlifting;1996 Summer Olympics;Men's Light Weightlifting 76- 83 kg;Gold medal;Pyrros Dimas;1996 Summer Olympics
Belgium;Cycling;1924 Summer Olympics;Men's Individual Time Trial;Silver medal;Henri Hoevenaers;1924 Summer Olympics
Spain;Gymnastics;2000 Summer Olympics;Men's Vault;Gold medal;Gervasio Deferr;2000 Summer Olympics
France;Judo;1972 Summer Olympics;Open Category;Bronze medal;Jean-Claude Brondani;1972 Summer Olympics
United States of America;Cycling;1912 Summer Olympics;Men's individual time trial;Bronze medal;Carl Schutte;1912 Summer Olympics
Italy;Basketball;2004 Summer Olympics;Men's basketball;Silver medal;Giacomo Galanda;Alex Righetti;Nikola Radulovic;Matteo Soragna;Michele Mian;Luca Garri;Roberto Chiacig;Massimo Bulleri;Gianluca Basile;Rodolfo Rombaldoni;Gianmarco Pozzecco;Denis Marconato;2004 Summer Olympics
Australia;Volleyball;2004 Summer Olympics;Women's Beach Volleyball;;Nicole Sanderson;Natalie Cook;2004 Summer Olympics
Switzerland;Cross-country skiing;2002 Winter Olympics;4 x 5 Km relay;Bronze medal;Andrea Huber;Brigitte Albrecht Loretan;Natascia Leonardi Cortesi;Laurence Rochat;2002 Winter Olympics
United States of America;Luge;2002 Winter Olympics;Men's Doubles;Silver medal;Brian Martin;Mark Grimmette;2002 Winter Olympics
South Africa;Volleyball;2004 Summer Olympics;Men's Beach Volleyball;;Colin Pocock;Gershon Rorich;2004 Summer Olympics
Finland;Snowboarding;2006 Winter Olympics;Men's Halfpipe;Bronze medal;Markku Koski;2006 Winter Olympics
United States of America;Swimming;1992 Summer Olympics;Women's 4 x 100 metre medley relay;Gold medal;Jenny Thompson;1992 Summer Olympics
United States of America;Wrestling;1904 Summer Olympics;Men's freestyle light flyweight;Gold medal;Robert Curry;1904 Summer Olympics
United States of America;Swimming;1996 Summer Olympics;Women's 4 x 100 metre medley relay;Gold medal;Jenny Thompson;1996 Summer Olympics
;Athletics;2004 Summer Olympics;Women's 1.500 metres;;Daniela Yordanova;2004 Summer Olympics
Germany;Luge;2010 Winter Olympics;Men's singles;Gold medal;Felix Loch;2010 Winter Olympics
Mixed team;Tennis;1896 Summer Olympics;Men's doubles;Bronze medal;George Stuart Robertson;Teddy Flack;1896 Summer Olympics
Norway;Cross-country skiing;2010 Winter Olympics;Men's team sprint;Gold medal;Petter Northug;Øystein Pettersen;2010 Winter Olympics
United States of America;Alpine skiing;2010 Winter Olympics;Women's downhill;Silver medal;Julia Mancuso;2010 Winter Olympics
France;Athletics;2012 Summer Olympics;Men's 3000 metres steeplechase;Silver medal;Mahiedine Mekhissi-Benabbad;2012 Summer Olympics
Russia;Boxing;2012 Summer Olympics;Women's lightweight;Silver medal;Sofya  Ochigava;2012 Summer Olympics
United States of America;Athletics;1992 Summer Olympics;Women's 400 metres hurdles;Bronze medal;Janeene Vickers;1992 Summer Olympics
Hungary;Fencing;1952 Summer Olympics;Women's Foil, Individual;Silver medal;Ilona Elek;1952 Summer Olympics
Norway;Athletics;1908 Summer Olympics;Men's javelin throw;Silver medal;Arne Halse;1908 Summer Olympics
Australia;Swimming;1984 Summer Olympics;Women's 200 metre butterfly;Silver medal;Karen Phillips;1984 Summer Olympics
Russia;Weightlifting;1996 Summer Olympics;Men's Super Heavyweight +108 kg;Gold medal;Andrei Chemerkin;1996 Summer Olympics
Poland;Shooting;1976 Summer Olympics;Skeet;Bronze medal;Wieslaw Gawlikowski;1976 Summer Olympics
Romania;Wrestling;1976 Summer Olympics;Men's Greco-Roman Super Heavyweight;Bronze medal;Roman Codreanu;1976 Summer Olympics
Liechtenstein;Alpine Skiing;1984 Winter Olympics;Women's Slalom;Bronze medal;Ursula Konzett;1984 Winter Olympics
Armenia;Weightlifting;2008 Summer Olympics;Men's Lightweight 62-69 kg;Bronze medal;Tigran Gevorg Martirosyan;2008 Summer Olympics
Estonia;Wrestling;1924 Summer Olympics;Men's Greco-Roman Middleweight;Bronze medal;Roman Steinberg;1924 Summer Olympics
Soviet Union;Shooting;1952 Summer Olympics;Men's 50 metre rifle; prone;Silver medal;Boris Andreev;1952 Summer Olympics
Australia;Swimming;2008 Summer Olympics;Women's 50 metre freestyle;Bronze medal;Cate Campbell;2008 Summer Olympics
Canada;Canoeing;1976 Summer Olympics;Men's C-1 500 metres;Silver medal;John Wood;1976 Summer Olympics
France;Alpine Skiing;1998 Winter Olympics;Women's Downhill;Bronze medal;Florence Masnada;1998 Winter Olympics
France;Cycling;1996 Summer Olympics;Men's 1000m Time Trial;Gold medal;Florian Rousseau;1996 Summer Olympics
China;Judo;1996 Summer Olympics;Women's Middleweight (66kg);Bronze medal;Xianbo Wang;1996 Summer Olympics
Netherlands;Swimming;1984 Summer Olympics;Women's 100 metre backstroke;Bronze medal;Jolanda de Rover;1984 Summer Olympics
Australia;Freestyle skiing;2002 Winter Olympics;Women's aerials;Gold medal;Alisa Camplin;2002 Winter Olympics
United States of America;Athletics;1988 Summer Olympics;Men's 400 metres;Bronze medal;Danny Everett;1988 Summer Olympics
Norway;Snowboarding;1998 Winter Olympics;Women's Halfpipe;Silver medal;Stine Brun Kjeldaas;1998 Winter Olympics
Switzerland;Alpine Skiing;1972 Winter Olympics;Women's Giant Slalom;Gold medal;Marie-Theres Nadig;1972 Winter Olympics
United Kingdom;Athletics;1908 Summer Olympics;Men's 5 miles;Silver medal;Edward Owen;1908 Summer Olympics
Finland;Ski Jumping;1960 Winter Olympics;Large Hill;Silver medal;Niilo Halonen;1960 Winter Olympics
West Germany;Alpine Skiing;1976 Winter Olympics;Women's Giant Slalom;Silver medal;Rosi Mittermaier;1976 Winter Olympics
Australia;Athletics;1896 Summer Olympics;Men's 1500 metres;Gold medal;Teddy Flack;1896 Summer Olympics
Norway;Nordic Combined;1994 Winter Olympics;Individual;Gold medal;Fred Børre Lundberg;1994 Winter Olympics
United States of America;Cycling;1992 Summer Olympics;Men's 1000m Time Trial;Bronze medal;Erin W. Hartwell;1992 Summer Olympics
Finland;Athletics;1908 Summer Olympics;Men's Greek discus;Bronze medal;Verner Järvinen;1908 Summer Olympics
Soviet Union;Wrestling;1952 Summer Olympics;Men's Greco-Roman Featherweight;Gold medal;Yakov Punkin;1952 Summer Olympics
Kenya;Athletics;2008 Summer Olympics;Men's 5000 metres;Bronze medal;Edwin Soi;2008 Summer Olympics
Switzerland;Alpine Skiing;1994 Winter Olympics;Women's Slalom;Gold medal;Vreni Schneider;1994 Winter Olympics
Norway;Nordic Combined;1960 Winter Olympics;Individual;Silver medal;Tormod Knutsen;1960 Winter Olympics
Switzerland;Ski Jumping;1972 Winter Olympics;Large Hill;Silver medal;Walter Steiner;1972 Winter Olympics
West Germany;Shooting;1988 Summer Olympics;Women's 10 metre air rifle;Silver medal;Silvia Sperber;1988 Summer Olympics
Sweden;Wrestling;1952 Summer Olympics;Greco-Roman Welterweight;Silver medal;Gösta Andersson;1952 Summer Olympics
Soviet Union;Cross Country Skiing;1988 Winter Olympics;Women's 5km;Bronze medal;Vida Vencien?;1988 Winter Olympics
Soviet Union;Speed Skating;1964 Winter Olympics;Men's 500m;Silver medal;Yevgeny Grishin;1964 Winter Olympics
Japan;Judo;1992 Summer Olympics;Women's Heavyweight;Bronze medal;Yoko Sakaue;1992 Summer Olympics
Poland;Swimming;1992 Summer Olympics;Men's 100 metre butterfly;Silver medal;Rafal Szukala;1992 Summer Olympics
United States of America;Figure skating;1952 Winter Olympics;Men's singles;Bronze medal;James Grogan;1952 Winter Olympics
Trinidad and Tobago;Athletics;1996 Summer Olympics;Men's 200 metres;Bronze medal;Ato Boldon;1996 Summer Olympics
United States of America;Swimming;1976 Summer Olympics;Men's 200 metre freestyle;Gold medal;Bruce Furniss;1976 Summer Olympics
Sweden;Cycling;2008 Summer Olympics;Women's individual road race;Silver medal;Emma Johansson;2008 Summer Olympics
Greece;Gymnastics;1896 Summer Olympics;Men's rope climbing;Silver medal;Thomas Xenakis;1896 Summer Olympics
Finland;Freestyle skiing;2002 Winter Olympics;Men's moguls;Gold medal;Janne Lahtela;2002 Winter Olympics
Sweden;Canoeing;1952 Summer Olympics;Men's K-1 1000 metres;Gold medal;Gert Fredriksson;1952 Summer Olympics
Yugoslavia;Shooting;1992 Summer Olympics;Women's 10 metre air rifle;Bronze medal;Aranka Binder;1992 Summer Olympics
Czechoslovakia;Gymnastics;1924 Summer Olympics;Men's rope climbing;Bronze medal;Ladislav Vácha;1924 Summer Olympics
Switzerland;Wrestling;1928 Summer Olympics;Men's Freestyle Light Heavyweight;Silver medal;Arnold Bögli;1928 Summer Olympics
German Democratic Republic;Shooting;1980 Summer Olympics;Men's 25 metre rapid fire pistol;Silver medal;Jürgen Wiefel;1980 Summer Olympics
Soviet Union;Gymnastics;1960 Summer Olympics;Men's rings;Silver medal;Boris Shakhlin;1960 Summer Olympics
Egypt;Weightlifting;1936 Summer Olympics;Men's Featherweight 60 kg;Silver medal;Saleh Soliman;1936 Summer Olympics
Switzerland;Fencing;2004 Summer Olympics;Men's Épée, Individual;Gold medal;Marcel Fischer;2004 Summer Olympics
Japan;Judo;1988 Summer Olympics;Men's Extra Lightweight (-60kg);Bronze medal;Shinji Hosokawa;1988 Summer Olympics
United States of America;Swimming;1964 Summer Olympics;Women's 400 metre individual medley;Silver medal;Sharon Evans Finneran;1964 Summer Olympics
Germany;Cycling;1952 Summer Olympics;Men's individual road race;Bronze medal;Edi Ziegler;1952 Summer Olympics
Egypt;Taekwondo;2004 Summer Olympics;Men's 58 kg;Bronze medal;Tamer Bayoumi;2004 Summer Olympics
Australia;Cycling;1952 Summer Olympics;Men's individual road race;;Peter Pryor;1952 Summer Olympics
United Kingdom;Athletics;1960 Summer Olympics;Women's 80m Hurdles;Silver medal;Carole Quinton;1960 Summer Olympics
Hungary;Wrestling;1980 Summer Olympics;Men's freestyle Super Heavyweight;Silver medal;Jozsef Balla;1980 Summer Olympics
Austria;Swimming;1900 Summer Olympics;Men's 200 metre obstacle event;Silver medal;Otto Wahle;1900 Summer Olympics
Romania;Weightlifting;1984 Summer Olympics;Men's Light Heavyweight 75-82.5kg;Gold medal;Petre Becheru;1984 Summer Olympics
